,logFC,AveExpr,t,adj.P.Val,B,EntrezID,symbols,P.Value,Rank_1,HPO_Freq,NewP.value,Rank_2,Rank_1-Rank2
1570507_at,0.272080909,4.243044599,2.082612581,0.505526918,-3.957960287,9169,SCAF11,0.049521759,3501,0,0.049521759,4923,-1422
208514_at,-0.099382752,3.957884795,-1.724725616,0.592784802,-4.508165344,3753,KCNE1,0.099061484,5597,1,0.049530742,4924,673
222008_at,-0.044956034,5.197282547,-0.614162827,0.881802857,-5.657219671,1297,COL9A1,0.545612998,15312,10,0.049601182,4925,10387
218703_at,-0.107318351,7.269311507,-2.081477555,0.505948452,-3.959812825,26984,SEC22A,0.049635211,3502,0,0.049635211,4926,-1424
221209_s_at,0.136583696,4.592066857,2.081464909,0.505948452,-3.959833461,56914,OTOR,0.049636476,3503,0,0.049636476,4927,-1424
205030_at,-0.12388316,3.582717344,-2.081099232,0.505948452,-3.960430165,2173,FABP7,0.049673078,3504,0,0.049673078,4928,-1424
220846_s_at,-0.099232223,5.186858258,-2.080939133,0.505948452,-3.960691391,100506504,PRKCZ-AS1,0.04968911,3505,0,0.04968911,4929,-1424
213342_at,-0.033754812,3.415116374,-0.612483247,0.882438448,-5.658189505,10413,YAP1,0.546702612,15326,10,0.049700237,4930,10396
233919_s_at,-0.176945212,6.04395499,-2.080773699,0.505948452,-3.960961308,22927,HABP4,0.049705682,3506,0,0.049705682,4931,-1425
240838_s_at,-0.129837837,3.121389347,-2.08075972,0.505948452,-3.960984116,145837,DRAIC,0.049707083,3507,0,0.049707083,4932,-1425
218285_s_at,-0.167408092,9.198817148,-2.080707329,0.505948452,-3.961069592,56898,BDH2,0.049712332,3508,0,0.049712332,4933,-1425
240642_at,0.118451093,3.205432375,2.080684437,0.505948452,-3.96110694,7750,ZMYM2,0.049714626,3509,0,0.049714626,4934,-1425
222845_x_at,0.129731838,10.7946291,2.080670715,0.505948452,-3.961129327,51643,TMBIM4,0.049716001,3510,0,0.049716001,4935,-1425
1561969_at,0.088552627,3.245507209,2.080627147,0.505948452,-3.961200406,131368,ZPLD1,0.049720366,3511,0,0.049720366,4936,-1425
231713_s_at,-0.14472829,9.359849572,-2.080044794,0.506354137,-3.962150406,55250,ELP2,0.049778756,3512,0,0.049778756,4937,-1425
212758_s_at,0.230610089,8.045878865,1.721716206,0.594008535,-4.512482117,6935,ZEB1,0.099615258,5614,1,0.049807629,4938,676
204421_s_at,-0.249174574,5.67921742,-2.079604321,0.506589857,-3.962868844,2247,FGF2,0.049822961,3513,0,0.049822961,4939,-1426
230189_x_at,-0.003975887,6.81633704,-0.067489269,0.989407408,-5.83428109,26012,NSMF,0.946821782,19745,18,0.049832725,4940,14805
229409_s_at,-0.17698,5.395313702,-2.079475101,0.506589857,-3.963079592,84890,ADO,0.049835936,3514,0,0.049835936,4941,-1427
238505_at,0.180959585,7.730128232,2.078885535,0.506656095,-3.964041023,141,ADPRH,0.049895173,3516,0,0.049895173,4942,-1426
200766_at,0.000143625,6.741482685,0.002438932,0.999392789,-5.836463179,1509,CTSD,0.998076716,20177,19,0.049903836,4943,15234
230056_at,-0.205350224,4.090442043,-2.078738292,0.506656095,-3.964281111,2186,BPTF,0.049909977,3517,0,0.049909977,4944,-1427
1569864_at,-0.013033132,2.851016311,-0.258245778,0.957778228,-5.8045248,84947,SERAC1,0.798696388,18341,15,0.049918524,4945,13396
238677_at,0.154479055,7.540042768,2.078418199,0.506656095,-3.964803006,134430,WDR36,0.049942173,3519,0,0.049942173,4946,-1427
236576_at,-0.097870592,3.423251849,-2.07834836,0.506656095,-3.964916868,29119,CTNNA3,0.0499492,3520,0,0.0499492,4947,-1427
1559139_at,0.27200854,4.903504399,2.078303786,0.506656095,-3.964989537,26155,NOC2L,0.049953686,3521,0,0.049953686,4948,-1427
1553120_at,0.251708385,4.639142238,2.078302689,0.506656095,-3.964991325,63967,CLSPN,0.049953796,3522,0,0.049953796,4949,-1427
1557557_at,0.158652982,3.959662527,2.078271104,0.506656095,-3.965042818,100129196,MATN1-AS1,0.049956975,3523,0,0.049956975,4950,-1427
218259_at,-0.166621161,7.431117554,-2.078181685,0.506656095,-3.965188596,57496,MKL2,0.049965975,3524,0,0.049965975,4951,-1427
230343_at,-0.098188952,3.538331293,-1.493085399,0.657036437,-4.823641428,1471,CST3,0.150081903,7312,2,0.050027301,4952,2360
206117_at,-0.068704763,3.462559873,-1.181964444,0.737175624,-5.189045617,7168,TPM1,0.25024898,9986,4,0.050049796,4953,5033
213526_s_at,-0.131148517,7.167988933,-2.077323119,0.506945409,-3.966588091,55957,LIN37,0.050052462,3525,0,0.050052462,4954,-1429
1555393_s_at,0.13786187,5.585299524,2.077175212,0.506945409,-3.966829149,84536,LINC01547,0.050067375,3527,0,0.050067375,4955,-1428
203186_s_at,-0.51665433,9.486912366,-2.076706137,0.506945409,-3.967593569,6275,S100A4,0.050114697,3529,0,0.050114697,4956,-1427
1560803_at,0.098921842,3.184423126,2.076565678,0.506945409,-3.967822445,55567,DNAH3,0.050128874,3530,0,0.050128874,4957,-1427
231420_at,-0.119850938,3.928068135,-2.076271327,0.506945409,-3.968302055,199720,GGN,0.050158597,3531,0,0.050158597,4958,-1427
217865_at,-0.57932336,6.006261876,-2.076252548,0.506945409,-3.968332651,55819,RNF130,0.050160494,3532,0,0.050160494,4959,-1427
205937_at,0.105532025,4.139341983,2.076180887,0.506945409,-3.968449407,10669,CGREF1,0.050167733,3533,0,0.050167733,4960,-1427
221719_s_at,-0.069471436,4.121302596,-1.320347881,0.699623759,-5.035266607,11178,LZTS1,0.200733342,8764,3,0.050183336,4961,3803
231089_at,-0.160703711,4.790435251,-2.07587651,0.506945409,-3.968945293,100505664,LOC100505664,0.05019849,3535,0,0.05019849,4962,-1427
220245_at,0.077174271,5.089602895,1.05871918,0.771472005,-5.31352491,51151,SLC45A2,0.301588148,11077,5,0.050264691,4963,6114
234854_at,0.120680583,3.689309085,2.074814683,0.507639264,-3.970674848,23195,MDN1,0.05030592,3536,0,0.05030592,4964,-1428
225725_at,-0.243528789,9.701195262,-2.074755492,0.507639264,-3.970771246,64393,ZMAT3,0.050311914,3537,0,0.050311914,4965,-1428
227655_at,-0.153899745,5.092841879,-2.074661209,0.507639264,-3.970924788,100505806,SNHG18,0.050321464,3538,0,0.050321464,4966,-1428
220184_at,-0.11886799,3.287441847,-2.074079755,0.507818491,-3.971871608,79923,NANOG,0.050380396,3539,0,0.050380396,4967,-1428
243834_at,0.14631653,5.2231798,2.074050478,0.507818491,-3.971919277,27327,TNRC6A,0.050383365,3540,0,0.050383365,4968,-1428
1553550_at,0.133680586,3.657425843,2.073447483,0.507818491,-3.972900987,317705,VN1R5,0.050444549,3542,0,0.050444549,4969,-1427
226088_at,-0.21788127,7.716306061,-2.073313566,0.507818491,-3.973118988,84885,ZDHHC12,0.050458146,3543,0,0.050458146,4970,-1427
201194_at,0.101509447,8.501498871,2.073124733,0.507818491,-3.973426368,6415,SELENOW,0.050477324,3544,0,0.050477324,4971,-1427
222826_at,0.269928029,9.341918178,1.71439185,0.596001229,-4.522965253,26258,BLOC1S6,0.100974109,5657,1,0.050487055,4972,685
226456_at,-0.214259585,9.261823041,-2.072931774,0.507818491,-3.973740448,116028,RMI2,0.050496929,3545,0,0.050496929,4973,-1428
227996_at,0.337596266,4.537808083,2.072794494,0.507818491,-3.973963887,10160,FARP1,0.05051088,3547,0,0.05051088,4974,-1427
208961_s_at,-0.180276622,8.144119378,-2.072438402,0.507818491,-3.974543425,1316,KLF6,0.050547086,3549,0,0.050547086,4975,-1426
1559503_a_at,0.095030846,2.844741806,2.072371703,0.507818491,-3.974651971,441666,LOC441666,0.05055387,3550,0,0.05055387,4976,-1426
206258_at,0.13015286,4.973945335,2.072334705,0.507818491,-3.974712181,29906,ST8SIA5,0.050557634,3551,0,0.050557634,4977,-1426
229024_at,0.124816192,3.372622804,2.07191181,0.507818491,-3.975400337,57484,RNF150,0.050600669,3553,0,0.050600669,4978,-1425
222407_s_at,0.148901618,7.897368045,2.07185638,0.507818491,-3.975490529,64397,ZNF106,0.050606313,3554,0,0.050606313,4979,-1425
232116_at,-0.08995398,3.730833578,-1.713080966,0.59660924,-4.524838021,57822,GRHL3,0.101218972,5665,1,0.050609486,4980,685
240572_s_at,-0.371039771,7.568346896,-2.071685639,0.507818491,-3.975768339,374443,LOC374443,0.050623699,3555,0,0.050623699,4981,-1426
237896_at,0.092104664,3.942099023,1.174411246,0.7382798,-5.197018529,4838,NODAL,0.253195117,10070,4,0.050639023,4982,5088
209451_at,-0.143117101,9.602333682,-2.071487317,0.507818491,-3.976091005,10010,TANK,0.050643901,3557,0,0.050643901,4983,-1426
1563589_at,0.302938162,4.426175567,2.07146436,0.507818491,-3.976128354,340184,LOC340184,0.05064624,3558,0,0.05064624,4984,-1426
207378_at,-0.112928163,4.466125738,-1.712672319,0.596906132,-4.52542161,11181,TREH,0.101295408,5667,1,0.050647704,4985,682
207624_s_at,-0.021466278,6.269153078,-0.242155515,0.960454026,-5.808375325,6103,RPGR,0.810976202,18478,15,0.050686013,4986,13492
220495_s_at,0.180587335,10.05624138,2.071047327,0.50784112,-3.976806793,79770,TXNDC15,0.050688746,3559,0,0.050688746,4987,-1428
209644_x_at,-0.219015549,8.514319797,-2.070863948,0.50784112,-3.977105091,1029,CDKN2A,0.050707446,3560,0,0.050707446,4988,-1428
231067_s_at,0.120105301,3.41591359,2.070630818,0.50784112,-3.977484292,9590,AKAP12,0.05073123,3561,0,0.05073123,4989,-1428
223259_at,-0.174118548,8.398387873,-2.070488776,0.507844404,-3.97771532,94103,ORMDL3,0.050745726,3562,0,0.050745726,4990,-1428
203316_s_at,-0.051240758,12.31445349,-1.484810008,0.65960329,-4.834257255,6635,SNRPE,0.152245447,7375,2,0.050748482,4991,2384
227101_at,0.211697327,6.798050727,2.070427981,0.507844404,-3.977814199,168850,ZNF800,0.050751931,3563,0,0.050751931,4992,-1429
1552531_a_at,0.647740335,4.116758382,2.07004535,0.507937059,-3.978436478,204801,NLRP11,0.050791002,3565,0,0.050791002,4993,-1428
214803_at,0.134520554,4.077797549,2.069961403,0.507937059,-3.978572993,1004,CDH6,0.050799578,3566,0,0.050799578,4994,-1428
243477_at,-0.154829097,3.842276937,-2.06942806,0.507937059,-3.979440234,83734,ATG10,0.050854092,3567,0,0.050854092,4995,-1428
1564561_at,0.106076522,3.279023187,2.069000051,0.508176534,-3.980136093,103456507,LINC01442,0.050897877,3569,0,0.050897877,4996,-1427
200697_at,0.055319463,9.88450824,0.942548651,0.802020315,-5.419621494,3098,HK1,0.356481489,12216,6,0.050925927,4997,7219
239775_at,-0.26723708,4.956616739,-2.068460508,0.508403782,-3.981013157,101927609,LOC101927609,0.050953121,3570,0,0.050953121,4998,-1428
211150_s_at,-0.034277552,8.797311004,-0.442764768,0.920818943,-5.742880357,1737,DLAT,0.66240018,16783,12,0.05095386,4999,11784
